iter	Passed	Remaining
0	2296	571836
1	4452	552097
2	6716	553030
3	9071	557892
4	11475	562318
5	13809	561605
6	16071	557897
7	18407	556812
8	20729	555101
9	23188	556524
10	25523	554556
11	27772	550826
12	30203	550637
13	32438	546813
14	34811	545387
15	37011	541288
16	39369	539598
17	41423	533908
18	43714	531476
19	46184	531119
20	48746	531565
21	51293	531588
22	53627	529281
23	55736	524855
24	57774	519973
25	59935	516365
26	62168	513462
27	64357	510262
28	66608	507605
29	68620	503216
30	70734	499708
31	72847	496275
32	75093	493793
33	77190	490385
34	79204	486543
35	81454	484200
36	83745	482103
37	85949	479506
38	88073	476502
39	90292	474034
40	92454	471293
41	94899	469976
42	97827	470937
43	100535	470690
44	103162	469961
45	105697	468745
46	108150	467119
47	110994	467100
48	113676	466305
49	115853	463415
50	118778	463468
51	121308	461907
52	124078	461196
53	126888	460559
54	129675	459760
55	132100	457634
56	134662	455961
57	137487	455130
58	140339	454318
59	142723	451958
60	145058	449445
61	147823	448237
62	150603	447029
63	153073	444868
64	155541	442694
65	158202	441050
66	160673	438855
67	162652	435333
68	164531	431596
69	166868	429089
70	168774	425501
71	170685	421973
72	172621	418548
73	174428	414857
74	176578	412016
75	178661	409040
76	180746	406092
77	182761	403011
78	184824	400062
79	186975	397322
80	189005	394344
81	190751	390807
82	192521	387362
83	194732	384827
84	196653	381738
85	198661	378843
86	200607	375851
87	202733	373213
88	204785	370454
89	206913	367846
90	209036	365239
91	211293	362872
92	213501	360427
93	215348	357386
94	217275	354502
95	219294	351785
96	221287	349041
97	223302	346346
98	225195	343480
99	227249	340873
100	229469	338523
101	231323	335645
102	233490	333233
103	235637	330798
104	237717	328276
105	239918	325927
106	242085	323534
107	244322	321238
108	246612	319012
109	248744	316583
110	250974	314283
111	253126	311888
112	255286	309506
113	257502	307195
114	259820	305006
115	262124	302799
116	264337	300486
117	266646	298282
118	268524	295602
119	270778	293342
120	272975	291023
121	275169	288702
122	277044	286054
123	279086	283587
124	281059	281059
125	283210	278715
126	285123	276143
127	287204	273741
128	289243	271305
129	291324	268915
130	293404	266528
131	295398	264068
132	297555	261759
133	299760	259494
134	301854	257135
135	303883	254725
136	305921	252329
137	307817	249822
138	310237	247743
139	312252	245341
140	314302	242971
141	316411	240651
142	318585	238382
143	320636	236024
144	322547	233568
145	324834	231388
146	326966	229098
147	329012	226752
148	331084	224426
149	333246	222164
150	335318	219844
151	337287	217461
152	339203	215050
153	341157	212669
154	343415	210480
155	345575	208231
156	347867	206061
157	349947	203766
158	352253	201604
159	354587	199455
160	356834	197256
161	359176	195108
162	361533	192965
163	363663	190701
164	366016	188553
165	368305	186371
166	370504	184142
167	372746	181935
168	375034	179750
169	377415	177607
170	379492	175320
171	381424	172971
172	383667	170765
173	385758	168492
174	388009	166289
175	390101	164020
176	392328	161807
177	394432	159545
178	396715	157356
179	399170	155232
180	401373	153009
181	403415	150726
182	405695	148533
183	407982	146341
184	410215	144129
185	412276	141858
186	414297	139576
187	416542	137370
188	418790	135165
189	420900	132916
190	422797	130602
191	425084	128410
192	427106	126140
193	429122	123870
194	431052	121578
195	433290	119376
196	435324	117117
197	437638	114935
198	439645	112672
199	441645	110411
200	443837	108199
201	446007	105981
202	447972	103717
203	450216	101519
204	452617	99355
205	454961	97176
206	457062	94945
207	459341	92751
208	461572	90547
209	463699	88323
210	465714	86079
211	467687	83830
212	469705	81592
213	471642	79341
214	473717	77116
215	475841	74900
216	477866	72670
217	480047	70465
218	482021	68231
219	484098	66013
220	486127	63790
221	488013	61551
222	490044	59332
223	492267	57138
224	494427	54936
225	496791	52756
226	498979	50557
227	501127	48354
228	503387	46162
229	505686	43972
230	507719	41760
231	509804	39553
232	512164	37368
233	514140	35154
234	516153	32945
235	518173	30739
236	520036	28525
237	522212	26330
238	524259	24129
239	526529	21938
240	528502	19736
241	530642	17541
242	533031	15354
243	534994	13155
244	537012	10959
245	539402	8770
246	541401	6575
247	543371	4382
248	545561	2191
249	547880	0
